,Word_0,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9
0,cycle,life cycle,cycle approaches,recycling,household,revenue recycling,scc,taxes,lca,fairness
1,co2e,backstop,nrt,levy,cent,per cent,abatement,gap,forecast,forecasts
2,indigenous,resilience,peoples,indigenous peoples,pricing mechanisms,vulnerable,indicator,climate resilience,working group,remote
3,protocol,kyoto,participants,kyoto protocol,kpia,governance,protocol implementation,implementation act,statement,nrteeõs
4,al,ice,sea,changing climate,species,events,arctic,impacts adaptation,extreme,temperature
5,a3,n2o,ipcc,ch4,00,combustion,emission factors,al,category,fuel combustion
6,pricing policy,permits,trade system,climate policy,complementary,carbon prices,policy canada,carbon tax,abatement,certainty
7,category,ipcc,assurance,n2o,crf,financial assurance,ch4,tier,eq,co2 eq
8,clean technology,working group,eq,co2 eq,na,final report,indigenous,clean energy,clean technologies,renewable energy
9,person,par,combustible,registered,payable,charge,relativement,subsection,paragraphe,prescribed
