,Location,Scale,mobility_docs_score
Moving People - Province of British Columbia.txt,BC,Provincial,0.7000293135643005
Climate Action - Province of British Columbia.txt,BC,Provincial,0.6789910197257996
greenest-city-appliction-implementation-update-presentation-2014.txt,Cities,Municipal,0.9968591928482056
greenestcity-quickstart.txt,Cities,Municipal,0.9989647269248962
climate_change_action_plan_progress_report_2017.txt,ON,Provincial,0.5717769861221313
linking-qc.ca-ont.txt,QC,Provincial,0.6034343838691711
8eb2-TransformTO-Peoples-Climate-Movement-Community-Conversation-Report.txt,Cities,Municipal,0.8258498311042786
Moving Goods - Province of British Columbia.txt,BC,Provincial,0.8388479948043823
British Columbia's Carbon Tax - Province of British Columbia.txt,BC,Provincial,0.590916097164154
strategy.txt,Cities,Municipal,0.9999212622642517
gc2020-longterm-goals.txt,Cities,Municipal,0.9987257719039917
101_Ave_Study_What_We_Heard_Summary_Sept_2016.txt,Cities,Municipal,0.9516296982765198
TransportationPlan.txt,Cities,Municipal,0.9540358781814575
Transportation_2040_Plan_as_adopted_by_Council.txt,Cities,Municipal,0.999854326248169
9628-TransformTO-St.-Josephs-Parish-TransformTO-Conversation.txt,Cities,Municipal,0.9871023297309875
greenest-city-2020-action-plan-2015-2020.txt,Cities,Municipal,0.9998300671577454
SustainableTransportation.txt,Cities,Municipal,0.9991622567176819
greenest-city-implementation-update-20120116.txt,Cities,Municipal,0.9991207122802734
greenest-city-action-plan-implementation-update-2017.txt,Cities,Municipal,0.9993984699249268
GC2020-brochure.txt,Cities,Municipal,0.995155394077301
968b-TransformTO-Don-Heights-Unitarian-TransformTO-Conversation.txt,Cities,Municipal,0.7645393013954163
Greenest-city-action-plan.txt,Cities,Municipal,0.9995302557945251
rr1.txt,Cities,Municipal,0.9998711347579956
TransportationPolicies.txt,Cities,Municipal,0.9930728673934937
9994-TransformTO-Individual-Submissions-and-Comments.txt,Cities,Municipal,0.7857740521430969
greenest-city-2020-action-plan-2012-2013-implementation-update.txt,Cities,Municipal,0.9988097548484802
greenest-city-action-plan-presentation-to-council-2017-06-27.txt,Cities,Municipal,0.7450082302093506
rr1presentation-2.txt,Cities,Municipal,0.9970442652702332
strategy_strategic_framework.txt,Cities,Municipal,0.9926185011863708
965b-TransformTO-Ward-19-Lets-TransformTO.txt,Cities,Municipal,0.7136519551277161
greenest-city-action-plan-implementation-update-2017-2018.txt,Cities,Municipal,0.9995422959327698
8ee0-TransformTO-Ward-18-Talks-The-Environment-TransformTO.txt,Cities,Municipal,0.6300121545791626
GCAP-council-report.txt,Cities,Municipal,0.9998950958251953
MunicipalDevelopmentPlan.txt,Cities,Municipal,0.9977550506591797
strategy_implementation_monitoring.txt,Cities,Municipal,0.9993264675140381
gc2020-priorities.txt,Cities,Municipal,0.9916638731956482
gc2020-targets.txt,Cities,Municipal,0.9994388222694397
9692-TransformTO-Ward-21-Lets-TransformTO.txt,Cities,Municipal,0.6286564469337463
2011-11-01-TTRWinnipegTMP-Final-Report.txt,Cities,Municipal,0.9542155265808105
greenest-city-action-plan-implementation-update-2014-2015.txt,Cities,Municipal,0.9993295073509216
greenest-city-action-plan-implementation-update-2015-2016.txt,Cities,Municipal,0.9993757009506226
greenest-city-2020-action-plan-2013-2014-implementation-update.txt,Cities,Municipal,0.9991490244865417
greenest-city-action-plan-update-presentation-06-23-2015.txt,Cities,Municipal,0.9914249181747437
premier-designate-doug-ford-announces-an-end-to-ontarios-cap-and-trade-carbon-tax.txt,ON,Provincial,0.5773372054100037
Green Infrastructure & Other Actions - Province of British Columbia.txt,Canada,Federal,0.7328144311904907
Joint Statement on the Carbon Pricing Leadership Coalition - Canada.ca.txt,Canada,Federal,0.5999290347099304
541_eng.txt,Canada,Federal,0.54963618516922
NRTEE-Facing the Elements_Building Business Resilience in a Changing Climate_Report Series Overview.txt,Canada,Federal,0.5127626657485962
Pricing carbon pollution for clean growth - Canada.ca.txt,Canada,Federal,0.5070369243621826
bright-green-future.txt,Cities,Municipal,0.9996858835220337
