,Location,Scale,npn_mobility6_docs_score
Climate Action - Province of British Columbia.txt,BC,Provincial,0.8867782354354858
Transportation_Planning.txt,Cities,Municipal,0.6374365091323853
strategy.txt,Cities,Municipal,0.9999358057975769
101_Ave_Study_What_We_Heard_Summary_Sept_2016.txt,Cities,Municipal,0.923398494720459
TransportationPlan.txt,Cities,Municipal,0.9998325109481812
Transportation_2040_Plan_as_adopted_by_Council.txt,Cities,Municipal,0.9998868703842163
SustainableTransportation.txt,Cities,Municipal,0.9993472695350647
Edmonton_Energy_Transition_Discussion_Paper.txt,Cities,Municipal,0.5733126401901245
Transportation.txt,Cities,Municipal,0.6105038523674011
TransportationPolicies.txt,Cities,Municipal,0.9940758347511292
GreenLineSummary.txt,Cities,Municipal,0.5555926561355591
strategy_strategic_framework.txt,Cities,Municipal,0.9942284822463989
TransportationMasterPlan.txt,Cities,Municipal,0.9997929334640503
8ee0-TransformTO-Ward-18-Talks-The-Environment-TransformTO.txt,Cities,Municipal,0.633961021900177
MunicipalDevelopmentPlan.txt,Cities,Municipal,0.9793000221252441
strategy_implementation_monitoring.txt,Cities,Municipal,0.9994643926620483
96ad-TransformTO-Ward-17-Lets-TransformTO.txt,Cities,Municipal,0.7044194936752319
2011-11-01-TTRWinnipegTMP-Final-Report.txt,Cities,Municipal,0.9997875690460205
Green Infrastructure & Other Actions - Province of British Columbia.txt,Canada,Federal,0.567632794380188
541_eng.txt,Canada,Federal,0.6997622847557068
