Scale,No Below,0.1,0.2,0.3,0.4,0.5,0.6
Federal,0,-0.0054520294070243835,0.034770552068948746,0.2418583780527115,0.0842818021774292,0.01973951980471611,0.14858822524547577
Federal,1,-0.0054520294070243835,0.034770552068948746,0.2418583780527115,0.0842818021774292,0.01973951980471611,0.14858822524547577
Federal,2,-0.0054520294070243835,0.034770552068948746,0.2418583780527115,0.0842818021774292,0.01973951980471611,0.14858822524547577
Federal,5,0.09085387736558914,0.09450409561395645,0.12756268680095673,0.021322160959243774,-0.007125948090106249,0.14858822524547577
Federal,10,-0.02371317334473133,0.03781307488679886,0.011803748086094856,0.006296543404459953,-0.046786412596702576,0.07675059139728546
Federal,15,0.010081566870212555,0.04989377409219742,0.0347411185503006,-0.022302212193608284,0.01346990279853344,0.08713680505752563
Federal,20,0.0248942319303751,0.10616490244865417,0.15179415047168732,0.07535506039857864,0.001047178404405713,0.07875299453735352
Provincial,0,0.27376216650009155,0.018633224070072174,0.03773370012640953,0.14990301430225372,0.12050805985927582,0.13634778559207916
Provincial,1,0.27376216650009155,0.018633224070072174,0.03773370012640953,0.14990301430225372,0.12050805985927582,0.13634778559207916
Provincial,2,0.27376216650009155,0.018633224070072174,0.03773370012640953,0.14990301430225372,0.12050805985927582,0.13634778559207916
Provincial,5,0.20622454583644867,0.10173363238573074,0.09549059718847275,0.07218823581933975,0.018140768632292747,0.13634778559207916
Provincial,10,0.35825151205062866,0.18961140513420105,0.12374357134103775,0.1267545223236084,0.10065273940563202,0.13629908859729767
Provincial,15,0.2450217306613922,0.14527778327465057,0.13200326263904572,0.26548367738723755,0.11807338148355484,0.26288655400276184
Provincial,20,0.2910889685153961,0.07264643162488937,0.02924899384379387,0.07218823581933975,0.2888523042201996,0.1392790526151657
Municipal,0,0.6435666084289551,0.5432758927345276,0.8025951385498047,0.8118782043457031,0.692547082901001,0.7284174561500549
Municipal,1,0.6435666084289551,0.5432758927345276,0.8025951385498047,0.8118782043457031,0.692547082901001,0.7284174561500549
Municipal,2,0.6435666084289551,0.5432758927345276,0.8025951385498047,0.8118782043457031,0.692547082901001,0.7284174561500549
Municipal,5,0.5053077936172485,0.615475594997406,0.7638353109359741,0.8011903762817383,0.7555707097053528,0.7284174561500549
Municipal,10,0.703345775604248,0.6319338083267212,0.743791401386261,0.7899645566940308,0.7051522731781006,0.8400125503540039
Municipal,15,0.5283464789390564,0.5021269917488098,0.7283838987350464,0.8025685548782349,0.6984002590179443,0.7260118126869202
Municipal,20,0.4192658066749573,0.6216622591018677,0.7706817388534546,0.8160102367401123,0.6343897581100464,0.7248982191085815
