,Location,Scale,social_docs_score
106725-MNP Climate Change Engagment Report (April 23 2018).txt,SK,Provincial,0.9994838237762451
Low Carbon Economy Fund Applications Fact Sheet.txt,SK,Provincial,0.9885995388031006
FINAL  White Paper  Oct 17.txt,SK,Provincial,0.9555972814559937
Climate Change Strategy.txt,SK,Provincial,0.9299111366271973
104890-2017 Climate Change Strategy.txt,SK,Provincial,0.9293493032455444
2017 Progress Update - Province of British Columbia.txt,BC,Provincial,0.9997739195823669
2017_Sept_Update_Budget_and_Fiscal_Plan.txt,BC,Provincial,0.8428869843482971
2013_June_Budget_Fiscal_Plan.txt,BC,Provincial,0.9902511835098267
ActionPlanSupplement.txt,Cities,Municipal,0.5325368046760559
cap078814.txt,Cities,Municipal,0.5244231224060059
8ec2-TransformTO-Attachment-to-Short-Term-Strategies-Financial-Estimates-January-2017.txt,Cities,Municipal,0.5305644273757935
backgroundfile-103087.txt,Cities,Municipal,0.5566624402999878
96ad-TransformTO-2017-Capital-Budget-Briefing-Note-January-2017.txt,Cities,Municipal,0.5025996565818787
95d6-Strategic-Actions-Detailed-Summary_Update-Oct-27-v2.txt,Cities,Municipal,0.5085526704788208
8723-TransformTO-University-of-Toronto-Scarborough-Campus-TransformTO-Conversation.txt,Cities,Municipal,0.6740890145301819
greenest-city-action-plan-2017-2018-progress-update-presentation-to-council.txt,Cities,Municipal,0.6736506819725037
91d8-TransformTO-Modelling-Advisory-Group-Summary-Report-April-2017.txt,Cities,Municipal,0.5486191511154175
premier-designate-doug-ford-announces-an-end-to-ontarios-cap-and-trade-carbon-tax.txt,ON,Provincial,0.9064488410949707
NRTEE-Achieving 2050_Fact Sheet 1_Canadian GHG Emissions.txt,Canada,Federal,0.752995491027832
NRTEE-Measuring Up_Benchmarking Canada_s Competitiveness in a Low-Carbon World.txt,Canada,Federal,0.5018520355224609
